  PID TTY      STAT   TIME COMMAND
27842 ?        SNl    0:15 /opt/google/chrome-unstable/chrome --type=renderer --lang=en-US --force-fieldtrials=ChromeSuggestions/Control dev/EnhancedBookmarks/Default/ExtensionInstallVerification/None/GoogleNow/Enable/NewProfileManagement/Control/Prerender/PrerenderMulti/PrerenderFromOmnibox/OmniboxPrerenderEnabled/PrerenderLocalPredictorSpec/cd=3:LocalPredictor=Disabled/QUIC/Disabled/SPDY/SpdyEnabled/SettingsEnforcement/no_enforcement/Test0PercentDefault/group_01/UMA-Dynamic-Binary-Uniformity-Trial/default/UMA-New-Install-Uniformity-Trial/Control/UMA-Population-Restrict/normal/UMA-Session-Randomized-Uniformity-Trial-5-Percent/group_01/UMA-Uniformity-Trial-1-Percent/group_73/UMA-Uniformity-Trial-10-Percent/group_08/UMA-Uniformity-Trial-100-Percent/group_01/UMA-Uniformity-Trial-20-Percent/group_02/UMA-Uniformity-Trial-5-Percent/group_14/UMA-Uniformity-Trial-50-Percent/group_01/VoiceTrigger/Install/ --user-data-dir=/home/tovazm/.config/google-chrome-unstable --renderer-print-preview --enable-threaded-compositing --force-compositing-mode --enable-delegated-renderer --disable-accelerated-video-decode --enable-software-compositing --channel=1451.104.899383868
27983 ?        SNl    0:02 /opt/google/chrome-unstable/chrome --type=renderer --lang=en-US --force-fieldtrials=ChromeSuggestions/Control dev/EnhancedBookmarks/Default/ExtensionInstallVerification/None/GoogleNow/Enable/NewProfileManagement/Control/Prerender/PrerenderMulti/PrerenderFromOmnibox/OmniboxPrerenderEnabled/PrerenderLocalPredictorSpec/cd=3:LocalPredictor=Disabled/QUIC/Disabled/SPDY/SpdyEnabled/SettingsEnforcement/no_enforcement/Test0PercentDefault/group_01/UMA-Dynamic-Binary-Uniformity-Trial/default/UMA-New-Install-Uniformity-Trial/Control/UMA-Population-Restrict/normal/UMA-Session-Randomized-Uniformity-Trial-5-Percent/group_01/UMA-Uniformity-Trial-1-Percent/group_73/UMA-Uniformity-Trial-10-Percent/group_08/UMA-Uniformity-Trial-100-Percent/group_01/UMA-Uniformity-Trial-20-Percent/group_02/UMA-Uniformity-Trial-5-Percent/group_14/UMA-Uniformity-Trial-50-Percent/group_01/VoiceTrigger/Install/ --user-data-dir=/home/tovazm/.config/google-chrome-unstable --renderer-print-preview --enable-threaded-compositing --force-compositing-mode --enable-delegated-renderer --disable-accelerated-video-decode --enable-software-compositing --channel=1451.109.1437568964
28225 ?        SNl    0:04 /opt/google/chrome-unstable/chrome --type=renderer --lang=en-US --force-fieldtrials=ChromeSuggestions/Control dev/EnhancedBookmarks/Default/ExtensionInstallVerification/None/GoogleNow/Enable/NewProfileManagement/Control/Prerender/PrerenderMulti/PrerenderFromOmnibox/OmniboxPrerenderEnabled/PrerenderLocalPredictorSpec/cd=3:LocalPredictor=Disabled/QUIC/Disabled/SPDY/SpdyEnabled/SettingsEnforcement/no_enforcement/Test0PercentDefault/group_01/UMA-Dynamic-Binary-Uniformity-Trial/default/UMA-New-Install-Uniformity-Trial/Control/UMA-Population-Restrict/normal/UMA-Session-Randomized-Uniformity-Trial-5-Percent/group_01/UMA-Uniformity-Trial-1-Percent/group_73/UMA-Uniformity-Trial-10-Percent/group_08/UMA-Uniformity-Trial-100-Percent/group_01/UMA-Uniformity-Trial-20-Percent/group_02/UMA-Uniformity-Trial-5-Percent/group_14/UMA-Uniformity-Trial-50-Percent/group_01/VoiceTrigger/Install/ --user-data-dir=/home/tovazm/.config/google-chrome-unstable --renderer-print-preview --enable-threaded-compositing --force-compositing-mode --enable-delegated-renderer --disable-accelerated-video-decode --enable-software-compositing --channel=1451.112.1041832426
28398 ?        SNl    0:08 /opt/google/chrome-unstable/chrome --type=renderer --lang=en-US --force-fieldtrials=ChromeSuggestions/Control dev/EnhancedBookmarks/Default/ExtensionInstallVerification/None/GoogleNow/Enable/NewProfileManagement/Control/Prerender/PrerenderMulti/PrerenderFromOmnibox/OmniboxPrerenderEnabled/PrerenderLocalPredictorSpec/cd=3:LocalPredictor=Disabled/QUIC/Disabled/SPDY/SpdyEnabled/SettingsEnforcement/no_enforcement/Test0PercentDefault/group_01/UMA-Dynamic-Binary-Uniformity-Trial/default/UMA-New-Install-Uniformity-Trial/Control/UMA-Population-Restrict/normal/UMA-Session-Randomized-Uniformity-Trial-5-Percent/group_01/UMA-Uniformity-Trial-1-Percent/group_73/UMA-Uniformity-Trial-10-Percent/group_08/UMA-Uniformity-Trial-100-Percent/group_01/UMA-Uniformity-Trial-20-Percent/group_02/UMA-Uniformity-Trial-5-Percent/group_14/UMA-Uniformity-Trial-50-Percent/group_01/VoiceTrigger/Install/ --user-data-dir=/home/tovazm/.config/google-chrome-unstable --renderer-print-preview --enable-threaded-compositing --force-compositing-mode --enable-delegated-renderer --disable-accelerated-video-decode --enable-software-compositing --channel=1451.115.687209457
28682 ?        SNl    0:09 /opt/google/chrome-unstable/chrome --type=renderer --lang=en-US --force-fieldtrials=ChromeSuggestions/Control dev/EnhancedBookmarks/Default/ExtensionInstallVerification/None/GoogleNow/Enable/NewProfileManagement/Control/Prerender/PrerenderMulti/PrerenderFromOmnibox/OmniboxPrerenderEnabled/PrerenderLocalPredictorSpec/cd=3:LocalPredictor=Disabled/QUIC/Disabled/SPDY/SpdyEnabled/SettingsEnforcement/no_enforcement/Test0PercentDefault/group_01/UMA-Dynamic-Binary-Uniformity-Trial/default/UMA-New-Install-Uniformity-Trial/Control/UMA-Population-Restrict/normal/UMA-Session-Randomized-Uniformity-Trial-5-Percent/group_01/UMA-Uniformity-Trial-1-Percent/group_73/UMA-Uniformity-Trial-10-Percent/group_08/UMA-Uniformity-Trial-100-Percent/group_01/UMA-Uniformity-Trial-20-Percent/group_02/UMA-Uniformity-Trial-5-Percent/group_14/UMA-Uniformity-Trial-50-Percent/group_01/VoiceTrigger/Install/ --user-data-dir=/home/tovazm/.config/google-chrome-unstable --renderer-print-preview --enable-threaded-compositing --force-compositing-mode --enable-delegated-renderer --disable-accelerated-video-decode --enable-software-compositing --channel=1451.118.1047539159
29405 ?        S      0:00 [kworker/u16:0]
30531 ?        S      0:00 [kworker/u16:1]
30706 ?        S      0:00 [kworker/0:2]
30791 ?        S      0:00 [kworker/u16:2]
31070 pts/4    S+     0:00 emacs -nw moulinette42.rb
31165 ?        Sl     0:07 /opt/google/chrome-unstable/chrome --type=renderer --lang=en-US --force-fieldtrials=ChromeSuggestions/Control dev/EnhancedBookmarks/Default/ExtensionInstallVerification/None/GoogleNow/Enable/NewProfileManagement/Control/Prerender/PrerenderMulti/PrerenderFromOmnibox/OmniboxPrerenderEnabled/PrerenderLocalPredictorSpec/cd=3:LocalPredictor=Disabled/QUIC/Disabled/SPDY/SpdyEnabled/SettingsEnforcement/no_enforcement/Test0PercentDefault/group_01/UMA-Dynamic-Binary-Uniformity-Trial/default/UMA-New-Install-Uniformity-Trial/Control/UMA-Population-Restrict/normal/UMA-Session-Randomized-Uniformity-Trial-5-Percent/group_01/UMA-Uniformity-Trial-1-Percent/group_73/UMA-Uniformity-Trial-10-Percent/group_08/UMA-Uniformity-Trial-100-Percent/group_01/UMA-Uniformity-Trial-20-Percent/group_02/UMA-Uniformity-Trial-5-Percent/group_14/UMA-Uniformity-Trial-50-Percent/group_01/VoiceTrigger/Install/ --user-data-dir=/home/tovazm/.config/google-chrome-unstable --renderer-print-preview --enable-threaded-compositing --force-compositing-mode --enable-delegated-renderer --disable-accelerated-video-decode --enable-software-compositing --channel=1451.125.1394813498
31196 pts/8    R+     0:00 ps -ax
31197 pts/8    S+     0:00 tee processes.txt
31198 pts/8    S+     0:00 more
