  PID TTY      STAT   TIME COMMAND
10892 ?        S<     0:00 [kworker/u17:2]
10901 ?        S      0:04 [kworker/4:3]
10902 ?        S      0:01 [kworker/5:0]
10924 ?        S      0:00 /usr/bin/dhcpcd -B -K -L -G -c /usr/lib/networkmanager/nm-dhcp-client.action wlo1
10928 ?        S      0:02 [kworker/6:1]
10986 ?        Ss     0:00 /usr/bin/ntpd -g -u ntp:ntp -p /run/ntpd.pid
10988 ?        S      0:00 [kworker/1:0]
11158 ?        Sl     0:21 /usr/bin/python2 /usr/bin/terminator
11164 ?        S      0:00 gnome-pty-helper
11165 pts/4    Ss     0:00 /bin/bash
11305 pts/6    Ss+    0:00 /bin/bash
14514 ?        S      0:04 [kworker/0:0]
17214 ?        Ss     1:33 /usr/lib/systemd/systemd-journald
17217 ?        S      0:00 [kworker/1:1]
17739 pts/7    Ss+    0:01 /bin/bash
19688 ?        SNl    0:18 /opt/google/chrome-unstable/chrome --type=renderer --lang=en-US --force-fieldtrials=ChromeSuggestions/Control dev/EnhancedBookmarks/Default/ExtensionInstallVerification/None/GoogleNow/Enable/NewProfileManagement/Control/Prerender/PrerenderMulti/PrerenderFromOmnibox/OmniboxPrerenderEnabled/PrerenderLocalPredictorSpec/cd=3:LocalPredictor=Disabled/QUIC/Disabled/SPDY/SpdyEnabled/SettingsEnforcement/no_enforcement/Test0PercentDefault/group_01/UMA-Dynamic-Binary-Uniformity-Trial/default/UMA-New-Install-Uniformity-Trial/Control/UMA-Population-Restrict/normal/UMA-Session-Randomized-Uniformity-Trial-5-Percent/group_01/UMA-Uniformity-Trial-1-Percent/group_73/UMA-Uniformity-Trial-10-Percent/group_08/UMA-Uniformity-Trial-100-Percent/group_01/UMA-Uniformity-Trial-20-Percent/group_02/UMA-Uniformity-Trial-5-Percent/group_14/UMA-Uniformity-Trial-50-Percent/group_01/VoiceTrigger/Install/ --user-data-dir=/home/tovazm/.config/google-chrome-unstable --renderer-print-preview --enable-threaded-compositing --force-compositing-mode --enable-delegated-renderer --disable-accelerated-video-decode --enable-software-compositing --channel=1451.41.1513336847
21302 ?        S      0:00 [kworker/6:2]
24832 pts/8    Ss     0:01 /bin/bash
25044 ?        S      0:00 [kworker/2:1]
25263 ?        S      0:00 [kworker/4:0]
